Item Number,GCF,Illumina Filename,ONT Filename
274,GCF_009936295.1,ILM3_2020BE11_274.fastq.gz,ONG3_2020AH02_274.fastq.gz
11249,GCF_000816085.1,ILN1_2020AA22_11249.fastq.gz,ONG3_2020CU06_11249.fastq.gz
13932,GCF_003031895.1,ILN1_2021AB46_13932.fastq.gz,ONG3_2021AL05_13932.fastq.gz
14870,GCF_900475835.1,ILM3_2019BM07_14870D-5.fastq,ONG2_2019DC07_14870D-5.fastq.gz
33397,GCF_900636475.1,ILM3_2019CH07_33397DX.fastq.gz,ONG2_2019DW04_33397DX.fastq.gz
53103,GCF_000011045.1,ILM3_2019BL06_53103DX.fastq.gz,ONG2_2019DK04_53103DX.fastq.gz
BAA-798,GCF_000025005.1,ILM2_2019AL10_BAA-798D-5.fastq.gz,ONG2_2019DT08_BAA-798D-5.fastq.gz
11249,GCF_900474585.1,ILN1_2020AA22_11249.fastq.gz,ONG3_2020CU06_11249.fastq.gz
15313,GCF_900187225.1,ILN1_2020AC16_15313.fastq.gz,ONG3_2020DP03_15313.fastq.gz
25238,GCF_900476075.1,ILN1_2021AA27_25238.fastq.gz,ONG3_2021AA04_25238.fastq.gz
33153,GCF_900186855.1,ILM2_2020AT01_33153.fastq.gz,ONG3_2020CC05_33153.fastq.gz
33820,GCF_018987235.1,ILM3_2019BQ06_33820DX.fastq.gz,ONG2_2019CW06_33820DX.fastq.gz
49766,GCF_900475995.1,ILN1_2021AB36_49766.fastq.gz,ONG3_2021AI01_49766.fastq.gz
27335,GCF_900475975.1,ILM3_2019BQ10_27335DX.fastq.gz,ONG2_2019CX04_27335DX.fastq.gz
29544,GCF_000982825.1,ILM3_2020BG10_29544.fastq.gz,ONG3_2020AG04_29544.fastq.gz
13253,GCF_900475375.1,ILM3_2020CG08_13253.fastq.gz,ONG3_2020CC03_13253.fastq.gz
19615,GCF_900474895.1,ILM3_2018AJ06_19615D-5.fastq.gz,ONG2_2019BG01_19615D-5.fastq.gz
25175,GCF_900475095.1,ILM3_2019AJ06_25175D-5.fastq.gz,ONG2_2019AJ02_25175D-5.fastq.gz
BAA-613,GCF_002234575.2,ILN1_2020AA48_BAA-613.fastq.gz,ONG3_2020CZ01_BAA-613.fastq.gz
25923,GCF_000756205.1,ILM3_2018AK09_25923D-5.fastq.gz,ONG2_2019BH05_25923D-5.fastq.gz
21573,GCF_019551735.1,ILN1_2020AA24_21573.fastq.gz,ONG3_2020CY04_21573.fastq.gz
25840,GCF_000016845.1,ILN1_2020AA05_25840.fastq.gz,ONG3_2020CO02_25840.fastq.gz
25845,GCF_000144405.1,ILM3_2019AR05_25845D-5.fastq.gz,ONG2_2019AE04_25845D-5.fastq.gz
33236,GCF_001190745.1,ILM3_2019AS06_33236D-5.fastq.gz,ONG2_2019BC01_33236D-5.fastq.gz
33406,GCF_000014145.1,ILM3_2019BK07_33406D-5.fastq.gz,ONG2_2019CU05_33406D-5.fastq.gz
14581,GCF_000832985.1,ILM3_2020CT02_14581.fastq.gz,ONG3_2020DO01_14581.fastq.gz
43809,GCF_900478255.1,ILM2_2019AB01_43809D-5.fastq.gz,ONG2_2019AU02_43809D-5.fastq.gz
49037,GCF_000021325.1,ILM3_2019AT08_49037D-5.fastq,ONG2_2019BE02_49037D-5.fastq.gz
13985,GCF_900104715.1,ILM3_2020CF07_13985.fastq.gz,ONG3_2020CB01_13985.fastq.gz
4617,GCF_900637995.1,ILM3_2019BY02_4617DX.fastq.gz,ONG2_2019DF04_4617DX.fastq.gz
14581,GCF_017086525.1,ILM3_2020CT02_14581.fastq.gz,ONG3_2020DO01_14581.fastq.gz
BAA-196,GCF_008033295.1,ILM2_2020AS07_BAA-196.fastq.gz,ONG3_2020CK05_BAA-196.fastq.gz
10708,GCF_000487295.3,ILN1_2021AE06_10708.fastq.gz,ONG3_2021BB02_10708.fastq.gz
BAA-196,GCF_008033315.1,ILM2_2020AS07_BAA-196.fastq.gz,ONG3_2020CK05_BAA-196.fastq.gz
39184,GCF_001953035.1,ILN1_2020AA04_39184.fastq.gz,ONG3_2020CO01_39184.fastq.gz
10832,GCF_900635285.1,ILM3_2019AU09_10832D-5.fastq.gz,ONG2_2019AT01_10832D-5.fastq
19606,GCF_009759685.1,ILM3_2018AH06_19606D-5.fastq.gz,ONG1_2018AL02_19606D-5.fastq.gz
BAA-1738,GCF_001953015.1,ILM3_2019CF05_BAA-1738D-5.fastq.gz,ONG2_2019DY03_BAA-1738D-5.fastq.gz
43816,GCF_016071735.1,ILM3_2019CH08_43816DX.fastq.gz,ONG2_2019EA05_43816DX.fastq.gz
29212,GCF_000742975.1,ILM3_2019AY01_29212DX.fastq.gz,ONG2_2019BU02_29212DX.fastq.gz
BAA-1673,GCF_000493295.2,ILM3_2020AI02_BAA-1673D-5.fastq.gz,ONG2_2019DM05_BAA-1673D-5.fastq.gz
33353,GCF_900636735.1,ILN1_2020AB32_33353.fastq.gz,ONG3_2020DF01_33353.fastq.gz
35897,GCF_900187315.1,ILM3_2019AI08_35897D-5.fastq.gz,ONG2_2019AL02_35897D-5.fastq.gz
43975,GCF_000252995.1,ILM3_2019AU08_43975D-5.fastq.gz,ONG2_2019AR01_43975D-5.fastq.gz
25922,GCF_017357505.1,ILM3_2018AJ09_25922DX.fastq.gz,ONG2_2019BO01_25922DX.fastq.gz
17616,GCF_000010545.1,ILM3_2020AA03_17616D-5.fastq.gz,ONG2_2019EV03_17616D-5.fastq.gz
700603,GCF_003181175.1,ILM3_2019AK07_700603D-5.fastq.gz,ONM2_2019AC05_700603D-5.fastq.gz
53608,GCF_000236455.2,ILM3_2020CT09_53608.fastq.gz,ONG3_2020DO04_53608.fastq.gz
14581,GCF_006094495.1,ILM3_2020CT02_14581.fastq.gz,ONG3_2020DO01_14581.fastq.gz
35640,GCF_000487915.2,ILM3_2019CH04_35640DX.fastq.gz,ONG2_2019DX04_35640DX.fastq.gz
6919,GCF_008728435.1,ILM3_2019BF01_6919DX.fastq,ONG2_2019CJ05_6919DX.fastq.gz
31821,GCF_003054575.1,ILM3_2018AK07_31821D-5.fastq.gz,ONG2_2019BH03_31821D-5.fastq.gz
BAA-835,GCF_000020225.1,ILM3_2018AL05_BAA-835D-5.fastq.gz,ONG2_2019BI05_BAA-835D-5.fastq.gz
17616,GCF_000018505.1,ILM3_2020AA03_17616D-5.fastq.gz,ONG2_2019EV03_17616D-5.fastq.gz
33453,GCF_000008305.1,ILM3_2019BO06_33453D-5.fastq.gz,ONG2_2019CZ02_33453D-5.fastq.gz
35685,GCF_000015445.1,ILM3_2019BG11_35685D-5.fastq.gz,ONG2_2019CN01_35685D-5.fastq.gz
43290,GCF_000239175.1,ILM3_2020CL12_43290.fastq.gz,ONG3_2020CM02_43290.fastq.gz
14580,GCF_006094335.1,ILM3_2018AF05_14580.fastq.gz,ONM2_2018AC06_14580.fastq.gz
43765,GCF_900475585.1,ILM3_2019CV09_43765DX.fastq.gz,ONG2_2019EZ01_43765DX.fastq.gz
6013,GCF_000807175.1,ILM3_2019BO04_6013DX.fastq,ONG2_2019CR04_6013DX.fastq.gz
