Assembly Accession	TaxID	Organism	Assembly Level	Chromsome Count	Total Length	Contig Count	Contig N50	Scaffold Count	Scaffold N50	Read Coverage	Submission Date	Latest Update	Bio Source	GC Content	ATCC Catalog
GCF_000006885.1	170187	Streptococcus pneumoniae TIGR4 (firmicutes)	Complete Genome	1	2160842	1	2160842	1	2160842	0	2008/07/03 00:00	2016/11/29 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'TIGR4; ATCC BAA-334')]))])), ('Sex', None), ('Isolate', None)])	0.3970	BAA-334
GCF_000007105.1	264203	Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821 (a-proteobacteria)	Complete Genome	1	2056363	1	2056363	1	2056363	0	2010/01/12 00:00	2016/11/29 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ZM4')]))])), ('Sex', None), ('Isolate', None)])	0.4633	31821
GCF_000007145.1	190485	Xanthomonas campestris pv. campestris str. ATCC 33913 (g-proteobacteria)	Complete Genome	1	5076188	1	5076188	1	5076188	0	2002/05/24 00:00	2020/03/06 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 33913')]))])), ('Sex', None), ('Isolate', None)])	0.6507	33913
GCF_000007645.1	176280	Staphylococcus epidermidis ATCC 12228 (firmicutes)	Complete Genome	1	2564615	7	2499279	7	2499279	0	2002/12/20 00:00	2020/03/06 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 12228')]))])), ('Sex', None), ('Isolate', None)])	0.3205	12228
GCF_000007705.1	243365	Chromobacterium violaceum ATCC 12472 (b-proteobacteria)	Complete Genome	1	4751080	1	4751080	1	4751080	0	2003/08/22 00:00	2016/11/29 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 12472')]))])), ('Sex', None), ('Isolate', None)])	0.6483	12472
GCF_000007825.1	226900	Bacillus cereus ATCC 14579 (firmicutes)	Complete Genome	1	5427083	2	5411809	2	5411809	0	2004/07/06 00:00	2020/03/06 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 14579')]))])), ('Sex', None), ('Isolate', None)])	0.3529	14579
GCF_000008005.1	222523	Bacillus cereus ATCC 10987 (firmicutes)	Complete Genome	1	5432652	2	5224283	2	5224283	0	2004/02/23 00:00	2016/11/29 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 10987')]))])), ('Sex', None), ('Isolate', None)])	0.3550	10987
GCF_000008185.1	243275	Treponema denticola ATCC 35405 (spirochetes)	Complete Genome	1	2843201	1	2843201	1	2843201	0	2004/02/03 00:00	2020/03/06 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'ATCC 35405')]))])), ('Sex', None), ('Isolate', None)])	0.3787	35405
GCF_000008305.1	265311	Mesoplasma florum L1 (mycoplasmas)	Complete Genome	1	793224	1	793224	1	793224	0	2004/07/19 00:00	2020/03/06 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'L1; ATCC 33453')]))])), ('Sex', None), ('Isolate', None)])	0.2702	33453
GCF_000008425.1	279010	Bacillus licheniformis DSM 13 = ATCC 14580 (firmicutes)	Complete Genome	1	4222645	1	4222645	1	4222645	0	2004/09/20 00:00	2016/11/29 00:00	OrderedDict([('InfraspeciesList', OrderedDict([('Infraspecie', OrderedDict([('Sub_type', 'strain'), ('Sub_value', 'DSM 13')]))])), ('Sex', None), ('Isolate', None)])	0.4619	14580
