External Sample ID,ONT Sample ID,Illumina Sample ID,ONT Sample Filename,Illumina Sample Filename,Assembly ID,Genome ID,Genome Tax ID,Assembly Status,Created At,Job,Assembly FASTA URI,Assembly GFA URI,Filtered N50,GC Content,Total Length,Circular Contigs,Total Contigs,Represented Segments,Expected Segments,Completeness,Contamination,Mean Illumina Depth,Mean ONT Depth,Median ONT Read Length,N50 ONT Read Length,ONT Read Median Quality,Total ONT Reads,Median Illumina Read Length,Total Illumina reads,Total Illumina bases,Ambiguous Illumina bases,Illumina Q-scores < 25,Illumina Read Median Quality,Fully Circularized,Assembly Level,Passed QC
NUC000945,55d204b49af44ffe,f9d2e77797ca4d85,ONG2_2019DS03_33889D-5.fastq.gz,ILM2_2019AK04_33889D-5.fastq.gz,a7dc582c6379469c,88e3db87138a4d4a,39766,published,2019-10-16 19:34:04.739859+00:00,Unicycler Hybrid Downsampled,https://s3.amazonaws.com/refgenomics-userdata-production-encrypted/user_ec1a0cd263164994/assembly_run_0819f4e846114489/assembly.fasta.gz?AWSAccessKeyId=AKIA6GPUEB7CLCIK2XEI&Expires=1623991176&Signature=fow3TM7r2lSLZALVfiDDH4H48I8%3D,https://s3.amazonaws.com/refgenomics-userdata-production-encrypted/user_ec1a0cd263164994/assembly_run_0819f4e846114489/assembly.gfa?AWSAccessKeyId=AKIA6GPUEB7CLCIK2XEI&Expires=1623991176&Signature=568wzk%2Fh3qM13JKjoGuLRkIu1xs%3D,2201576.0,0.34462312452534005,2201576.0,1.0,1.0,,,99.59183673469387,1.2244897959183674,428.4444361675454,,11595.5,29254.0,25.0,60102.0,200.0,4894927.0,978985400.0,0.0,0.0,38.0,True,Complete,True
NUC000726,1c6ab952612b49dd,e4df664a7d244d82,ONG2_2019CZ03_35240D-5.fastq.gz,ILM3_2019BO12_35240D-5.fastq.gz,1f1e9528ac8c41f6,dfc32831483b4e1c,2052,published,2019-12-17 01:43:33.077564+00:00,Unicycler Hybrid (Fixed Racon),https://s3.amazonaws.com/refgenomics-userdata-production-encrypted/user_ec1a0cd263164994/assembly_run_913281400751498d/assembly.fasta.gz?AWSAccessKeyId=AKIA6GPUEB7CLCIK2XEI&Expires=1623991176&Signature=fkWbgjFkoU2qat0UOI1hElooDNk%3D,https://s3.amazonaws.com/refgenomics-userdata-production-encrypted/user_ec1a0cd263164994/assembly_run_913281400751498d/assembly.gfa?AWSAccessKeyId=AKIA6GPUEB7CLCIK2XEI&Expires=1623991176&Signature=0IP7EuVrGnlEwubjTd8%2FddEQIQs%3D,2408109.0,0.5507543615216363,2413034.0,3.0,3.0,,,99.5260663507109,0.9478672985781991,291.1567278040221,,2826.0,30157.0,23.0,185471.0,210.0,3774263.0,792595230.0,4387.0,0.0,38.0,True,Complete,True
NUC000815,69667ffb05434e41,ac5941d64ffe403b,ONG2_2019CO01_BAA-2780DX.fastq.gz,ILM3_2019BL01_BAA-2780DX.fastq.gz,9f0b7b811d3b45ee,f09ce1cae72c49b4,562,published,2019-12-11 18:59:04.194299+00:00,Unicycler Hybrid (Fixed Racon),https://s3.amazonaws.com/refgenomics-userdata-production-encrypted/user_ec1a0cd263164994/assembly_run_295c267b134e4c2b/assembly.fasta.gz?AWSAccessKeyId=AKIA6GPUEB7CLCIK2XEI&Expires=1623991176&Signature=xLNCKjbK0U8oCJWsF%2FnbGFEAfic%3D,https://s3.amazonaws.com/refgenomics-userdata-production-encrypted/user_ec1a0cd263164994/assembly_run_295c267b134e4c2b/assembly.gfa?AWSAccessKeyId=AKIA6GPUEB7CLCIK2XEI&Expires=1623991176&Signature=BTGCKVQ%2BRxT6KsD9Eza7aVi%2FKfg%3D,4836748.0,0.5086709878018307,5130442.0,5.0,5.0,,,99.66931216931218,0.390625,201.0016177943343,,12146.0,34205.0,20.0,135180.0,236.0,4814008.0,1136105888.0,6317.0,0.0,38.0,True,Complete,True
NUC000870,6102a32cfd8b4242,332a4f1c27d949ee,ONG2_2019DC03_19258DX.fastq.gz,ILM3_2019BT01_19258DX.fastq,8fdf63fd39a74d54,24b5977c1a3f4a3e,1308,published,2019-12-17 01:43:32.006120+00:00,Unicycler Hybrid (Fixed Racon),https://s3.amazonaws.com/refgenomics-userdata-production-encrypted/user_ec1a0cd263164994/assembly_run_7d577de744f94cde/assembly.fasta.gz?AWSAccessKeyId=AKIA6GPUEB7CLCIK2XEI&Expires=1623991176&Signature=f5PLn5Biq4G091nrdUPG0g5XSpU%3D,https://s3.amazonaws.com/refgenomics-userdata-production-encrypted/user_ec1a0cd263164994/assembly_run_7d577de744f94cde/assembly.gfa?AWSAccessKeyId=AKIA6GPUEB7CLCIK2XEI&Expires=1623991176&Signature=wraTO3lLaHfE3TA7U5rXkLQMQ4M%3D,2102268.0,0.3901933530834318,2102268.0,1.0,1.0,,,99.89082969432314,0.40029112081513823,509.68355794789244,,4715.0,12890.0,25.0,130837.0,245.0,4783228.0,1171890860.0,8532.0,0.0,38.0,True,Complete,True
NUC001044,2aa910260ff5435c,ca68e8705edf4042,ONG2_2019EO04-BAA-1586D-5.fastq.gz,ILM3_2019CM07_BAA-1586D-5.fastq.gz,fbcd514435734d19,06ef7c52033743ff,28901,published,2019-12-11 18:59:03.657034+00:00,Unicycler Hybrid (Fixed Racon),https://s3.amazonaws.com/refgenomics-userdata-production-encrypted/user_ec1a0cd263164994/assembly_run_8f64b699180d43d2/assembly.fasta.gz?AWSAccessKeyId=AKIA6GPUEB7CLCIK2XEI&Expires=1623991176&Signature=xqJ9KfU0%2Fdu7kCCVMp34tKv120A%3D,https://s3.amazonaws.com/refgenomics-userdata-production-encrypted/user_ec1a0cd263164994/assembly_run_8f64b699180d43d2/assembly.gfa?AWSAccessKeyId=AKIA6GPUEB7CLCIK2XEI&Expires=1623991176&Signature=QU42aCOIHqcl339jYgRO%2BGM8AwI%3D,4640249.0,0.5223001730127301,4786353.0,3.0,3.0,,,99.70588235294117,0.06944444444444445,182.84058321649073,,11968.0,23234.0,22.0,106737.0,209.0,4585405.0,958349645.0,2790.0,0.0,38.0,True,Complete,True
NUC000636,f38df90efb53402a,fbe6662b2be345de,ONG2_2019BD03_8486D-5.fastq.gz,ILM3_2019AT04_8486D-5.fastq.gz,6c746941bbca418d,a920af678883455a,1736,published,2019-06-14 21:00:04.172284+00:00,Unicycler Hybrid,https://s3.amazonaws.com/refgenomics-userdata-production-encrypted/user_ec1a0cd263164994/file_6c746941bbca418d/assembly.fasta.gz?AWSAccessKeyId=AKIA6GPUEB7CLCIK2XEI&Expires=1623991176&Signature=gOow5UJ2o21GiC9CWjK5UzBd2Dw%3D,https://s3.amazonaws.com/refgenomics-userdata-production-encrypted/user_ec1a0cd263164994/assembly_run_250bffd6b1e747d7/assembly.gfa?AWSAccessKeyId=AKIA6GPUEB7CLCIK2XEI&Expires=1623991176&Signature=sLodQDezTRyfkqGKLOp6wZ23JCc%3D,4383890.0,0.4720656768303949,4383890.0,1.0,1.0,,,99.29577464788733,0.0,228.45292402777076,271.9594501686858,15888.0,31919.0,16.0,61575.0,234.0,4805951.0,1124592534.0,8756.0,0.0,38.0,True,Complete,True
NUC000563,22d8f4222c4a4da4,0063ea7147cd4c48,ONG2_2019AL03_35243D-5.fastq.gz,ILM3_2019AO08_35243D-5.fastq.gz,40d487effbea4ed1,7d0b97cae96847ea,2052,published,2019-06-14 21:00:04.172284+00:00,Unicycler Hybrid,https://s3.amazonaws.com/refgenomics-userdata-production-encrypted/user_ec1a0cd263164994/file_40d487effbea4ed1/assembly.fasta.gz?AWSAccessKeyId=AKIA6GPUEB7CLCIK2XEI&Expires=1623991176&Signature=Fa5gQwheUtMbq4Urb91Z8OtUDeQ%3D,https://s3.amazonaws.com/refgenomics-userdata-production-encrypted/user_ec1a0cd263164994/assembly_run_9546917cba924b9e/assembly.gfa?AWSAccessKeyId=AKIA6GPUEB7CLCIK2XEI&Expires=1623991176&Signature=%2BxQdbNCqRlMCrgKVMEgk8rjcFhs%3D,2434791.0,0.5511126006297871,2434791.0,1.0,1.0,,,99.5260663507109,1.4218009478672986,376.0676195084204,250.87149697859078,4316.0,30347.0,15.0,75682.0,232.0,4660165.0,1081158280.0,10983.0,0.0,38.0,True,Complete,True
NUC000607,e9c78c7a3b644183,1e487b466fe048a0,ONG2_2019AQ03_10790D-5.fastq.gz,ILM3_2019AU06_10790D-5.fastq.gz,d18b3da4d6774418,c27f48b9a7704f28,29466,published,2019-06-14 21:00:04.172284+00:00,Unicycler Hybrid,https://s3.amazonaws.com/refgenomics-userdata-production-encrypted/user_ec1a0cd263164994/file_d18b3da4d6774418/assembly.fasta.gz?AWSAccessKeyId=AKIA6GPUEB7CLCIK2XEI&Expires=1623991176&Signature=co9iYZOy7%2BRelgoWQIANADhbno0%3D,https://s3.amazonaws.com/refgenomics-userdata-production-encrypted/user_ec1a0cd263164994/assembly_run_b4072f3051944f12/assembly.gfa?AWSAccessKeyId=AKIA6GPUEB7CLCIK2XEI&Expires=1623991176&Signature=oNSyJ9SOsmQeAhAjhUZK5YbzgV4%3D,2132186.0,0.38631198216290696,2132186.0,1.0,1.0,,,100.0,0.0,466.4254671027762,512.9486498832654,16093.0,46699.0,16.0,44815.0,237.0,4683319.0,1109946603.0,7278.0,0.0,38.0,True,Complete,True
NUC000423,ecf48ed3abc54443,4d8201723cec436b,ONG2_2019BG03_13032D-5.fastq.gz,ILM3_2018AJ02_13032D-5.fastq.gz,d38f50e987754f1e,a24105b785224292,1718,published,2019-06-14 21:00:04.172284+00:00,Unicycler Hybrid,https://s3.amazonaws.com/refgenomics-userdata-production-encrypted/user_ec1a0cd263164994/file_d38f50e987754f1e/assembly.fasta.gz?AWSAccessKeyId=AKIA6GPUEB7CLCIK2XEI&Expires=1623991176&Signature=riKtFltJoNDYIMTGndcCsCZc7XY%3D,https://s3.amazonaws.com/refgenomics-userdata-production-encrypted/user_ec1a0cd263164994/assembly_run_afabf409b1cd41ab/assembly.gfa?AWSAccessKeyId=AKIA6GPUEB7CLCIK2XEI&Expires=1623991176&Signature=H3srd8P7i%2BdztVWnhhcRkXViODM%3D,3310828.0,0.5380895655105007,3310828.0,1.0,1.0,,,99.52276064610865,0.6607929515418502,217.37822395357253,172.33108847696104,11301.0,23172.0,16.0,39863.0,253.0,3147775.0,796387075.0,2471.0,0.0,38.0,True,Complete,True
NUC000627,ef05f00f1bb44661,6bd52d5993454a0c,ONG2_2019AU02_43809D-5.fastq.gz,ILM2_2019AB01_43809D-5.fastq.gz,56f085339ce74b50,bf88806883bb419a,28035,published,2019-06-14 21:00:04.172284+00:00,Unicycler Hybrid,https://s3.amazonaws.com/refgenomics-userdata-production-encrypted/user_ec1a0cd263164994/file_56f085339ce74b50/assembly.fasta.gz?AWSAccessKeyId=AKIA6GPUEB7CLCIK2XEI&Expires=1623991176&Signature=E0c025GKZNb37Ei%2Bv%2BYZzBuWJtI%3D,https://s3.amazonaws.com/refgenomics-userdata-production-encrypted/user_ec1a0cd263164994/assembly_run_2fb4cc1b04514cdd/assembly.gfa?AWSAccessKeyId=AKIA6GPUEB7CLCIK2XEI&Expires=1623991176&Signature=8k16BnPa71mNjcY1ldc2gE28pZ8%3D,2540324.0,0.3384851696082862,2540324.0,1.0,1.0,,,99.4475138121547,0.5524861878453039,461.43391000518045,144.72771937752822,4394.0,17543.0,17.0,43464.0,222.0,5747745.0,1275999390.0,116928.0,0.0,38.0,True,Complete,True
