Assembly ID	Base Catalog Number	Assembly Status	Assembly Publication Status	Assembly Rank	Error Message	Filtered N50	GC Content	Total Length	Circular Contigs	Total Contigs	Contamination	Mean Illumina Depth	Mean ONT Depth	Median ONT Read Length	N50 ONT Read Length	ONT Read Median Quality	Total ONT Reads	Total Illumina reads	Ambiguous Illumina bases	Fully Circularized	Assembly Level	Product Catalog Number	Product Collection
ffc1ccb49a294e9b	BAA-2110	published	beta	1		6621056	0.663279241256984	6621056	0	1	0.162337662337662	427.788577956696		5861.5	19972	23	79922	20532654	1976160	false	Chromosome	BAA-2110	ATCC Bacteriology
ffac948eabba4089	17909	published	gold	1		3596387	0.413732477407264	3625391	4	4	0.273972602739726	306.113951846849	82.8526219654652	6385	34705	16	20779	4883318	11678	true	Complete	17909D-5	ATCC Bacteriology
ff7742b2dd094f15	33563	published	gold	1		2103671	0.426292535990444	2671473	2	2	0	323.043891516029		7458	17146	24	361033	4166221	10402	true	Complete	33563	ATCC Bacteriology
ff52cfae114144e1	35654	published	gold	1		4733700	0.616128609755582	4733700	1	1	0	1011.94871200118		5271	13200	24	249181	34622897	268159	true	Complete	35654	ATCC Bacteriology
ff4d85707d5d48a2	27511	published	gold	1		3416263	0.639114845604521	4832784	2	2	0.0143348623853211	119.877531253207		6840	21288	23	211030	3425757	0	true	Complete	27511	ATCC Bacteriology
ff01055cdd12430c	VR-825	published	processing	3		2220	0.430692341613994	13606	0	8		158.328078524688						107569	10021	false	None	VR-825	ATCC Virology
fee9ef11a3d04815	33562	published	beta	1		1707695	0.295659089914623	1953246	2	13	3.87453874538745	795.763163472497		6970	27108	27	161053	11877441	242755	false	Chromosome	33562	ATCC Bacteriology
fee46da639464d8a	19296	published	beta	1		8756141	0.682388204145534	8944227	0	2	3.69801668673849	231.728069108354		13060	27484	21	210276	15177483	866716	false	Chromosome	19296	ATCC Bacteriology
fed82796f61b4b90	8585	published	processing	1		1753485	0.387183690903347	10727363	0	8		310.546731221955		3858	12001	25	292228	13616953	29036	false	Scaffold	8585D-5	ATCC Mycology
fec98a95dc2f4b93	700345	published	beta	2		5111055	0.446596973222699	5173657	0	7	0.0385802469135803	105.394785131881		2190	5532	23	442632	3030183	0	false	Chromosome	700345D-5	ATCC Bacteriology
feb5a1a086704361	208821	published	processing	1		1435677	0.481918539424917	19225826	0	25		260.551054105509		13520	23275	22	199847	22222833	48394	false	Scaffold	208821D-2	ATCC Mycology
fea5549ef4854fbd	7004	published	beta	1		2389084	0.353692715629199	5612482	6	9	1.40804597701149	120.327018518776		2640	7432	14	83477	3309491	9700	false	Chromosome	7004	ATCC Bacteriology
fe7db7f33f0e40a3	27844	published	gold	1		2220362	0.316125342869855	2261062	4	4	0.0236742424242424	483.293475366885		7844	20842	24	169079	5792151	6825	true	Complete	27844DX	ATCC Bacteriology
fe60fed01283457e	13705	published	gold	1		5365881	0.656765776207113	5365881	1	1	1.01483216237315	131.642337949723		10098	30556	25	144572	4621709	0	true	Complete	13705	ATCC Bacteriology
fe5355798dae48d1	BAA-3078	published	beta	1		5007616	0.57289441255109	5525115	2	4	0.84077380952381	195.75038768922		9536	31051	23	88216	5195964	6648	false	Chromosome	BAA-3078	ATCC Bacteriology
fe397710b5a445a5	BAA-1757	published	gold	1		2866237	0.328835333574997	2866237	1	1	0.0802568218298555	1059.62856839822		4447	12802	28	556202	22681065	2163400	true	Complete	BAA-1757	ATCC Bacteriology
fe21900a7e1f4643	BAA-2784	published	gold	1		5366540	0.571929584956655	5564720	3	3	0.0771604938271605	186.231618003826		3958	20418	19	206806	5275243	6500	true	Complete	BAA-2784DX	ATCC Bacteriology
fe197652a39848c7	BAA-1575	published	gold	1		4787743	0.521409148318947	4787743	1	1	0.0367647058823529	191.679664746706		1981	2750	24	1436554	5001697	2643	true	Complete	BAA-1575D-5	ATCC Bacteriology
fdc48a559b8f401c	700860	published	gold	1		1736000	0.418837557603687	1736000	1	1	0	302.706100230415		2222	4688	22	270273	5683339	51813	true	Complete	700860D-5	ATCC Bacteriology
fda235c6976d4daa	49242	published	gold	1		4315571	0.628242365219629	4725447	6	6	0.855038948393379	137.524824667393		5899	19331	22	99942	3555600	4324	true	Complete	49242D-5	ATCC Bacteriology
fd83015ba030445e	14206-B1	published	beta	1		3678601	0.660039174406599	6859035	0	7	0.432900432900433	152.769083931069		5064	19335	25	343119	7617523	405916	false	Chromosome	14206-B1	ATCC Bacteriology
fd43770f53304427	11296	published	beta	1		5054985	0.570691326495944	5372589	2	7	0.649350649350649	327.766677220309		13507	32753	25	115925	13134128	276672	false	Chromosome	11296	ATCC Bacteriology
fd335298aea848de	51767	published	gold	1		4252208	0.718822785715092	4252208	1	1	0.0963391136801541	225.980305430969		10716	20183	23	229001	4874690	4968	true	Complete	51767D-5	ATCC Bacteriology
fd31368a511f478f	MYA-4448	published	processing	2		953261	0.377825841193856	12224590	0	18		172.17267314583		6786	10210	25	368951	9455452	27155	false	Scaffold	MYA-4448D-5	ATCC Mycology
fd30b19dbe2d458c	33354	published	beta	1		4220916	0.659256497024371	6790313	0	8	0.108225108225108	357.214667616852		4411	16995	25	627686	17884738	424007	false	Chromosome	33354	ATCC Bacteriology
fd2ad63db65b48d4	25177	published	beta	2		556715	0.655968634615335	4292481	1	22	0	133.023606918336		4251	7603	16	9021	3047565	1266	false	Chromosome	25177D-5	ATCC Bacteriology
fcc748e47e794b9a	27340	published	beta	2		6138419	0.45697981865743	6244976	2	3	0	138.327040963548		4721	11117	14	21152	4150760	12585	false	Chromosome	27340D-5	ATCC Bacteriology
fc5a7adb2956413c	6538P	published	gold	1		2772559	0.328578178453306	2800049	2	2	0.0802568218298555	494.870145129603		2698	23184	24	102081	6937049	25417	true	Complete	6538PDX	ATCC Bacteriology
fbcd514435734d19	BAA-1586	published	gold	1		4640249	0.52230017301273	4786353	3	3	0.0694444444444444	182.840583216491		11968	23234	22	106737	4585405	2790	true	Complete	BAA-1586D-5	ATCC Bacteriology
fbc2721a64f048da	15539	published	gold	1		734191	0.253077196533327	734191	1	1	0	3261.37940808318		2697	11112	28	595654	17090195	136017	true	Complete	15539	ATCC Bacteriology
fbb65eb364c34efd	BAA-1833	published	gold	1		2209712	0.523633246464572	2238626	3	3	0.208768267223382	382.321124638935		14101.5	34157	24	57112	4317440	3208	true	Complete	BAA-1833	ATCC Bacteriology
fbb2c64102474c2f	27768	published	gold	1		3091715	0.563310654442599	3091715	1	1	0	837.434162269161		3053	6882	25	219602	19308857	406059	true	Complete	27768	ATCC Bacteriology
fb9235f1fae84983	25845	published	gold	2		1796366	0.409826833909985	3167999	2	2	0	312.25023141913	35.7572420319577	3047	13928	16	17917	4501480	4674	true	Complete	25845D-5	ATCC Bacteriology
fb7c23c310844e73	700876	published	beta	1		839690	0.685237287235051	3218399	1	5	1.33079847908745	359.364989775331		3294	20342	22	198646	12150534	106771	false	Chromosome	700876D-5	ATCC Bacteriology
fb6760fe07564170	14293	published	gold	1		3774962	0.390362041407139	3790699	3	3	0.547945205479452	857.150351689754		4924	23245	27	64032	23625111	183792	true	Complete	14293	ATCC Bacteriology
fb3885bc6fd749b8	27836	published	gold	1		2428231	0.328304432321307	2428231	1	1	0	544.850242419276		6366	29343	27	64805	5979412	3164	true	Complete	27836	ATCC Bacteriology
fb1faa1653424aab	33462	published	gold	1		4160913	0.370556173609013	4160913	1	1	0.572519083969466	239.792959769355		2375	3436	25	764729	4757903	5175	true	Complete	33462D-5	ATCC Bacteriology
faf50232fb3b4c72	BAA-2469	published	gold	1		5141320	0.508281098137458	5511769	9	9	0.96265589569161	208.661021896963		9503	33054	25	45949	5579736	1979	true	Complete	BAA-2469	ATCC Bacteriology
fa8cbb4d828447f6	700654	published	gold	1		1674143	0.516666736354063	1674143	1	1	0	419.373437036143		2548	7923	22	165306	7342949	66636	true	Complete	700654D-5	ATCC Bacteriology
fa2219d5cada4d5d	BAA-2774	published	gold	1		4785902	0.508379009468647	5174657	11	11	0.460220673635308	156.220810313716		9616	16958	24	46101	4291391	9000	true	Complete	BAA-2774DX	ATCC Bacteriology
f91b5e624fd440b4	201390	published	processing	3		816254	0.381775490804263	12257636	0	22		255.482132748312		8501	13463	25	1016113	13619047	7272	false	Scaffold	201390D-5	ATCC Mycology
f8f7b04aad7b4d4b	700306	published	gold	1		2051337	0.422414259578021	2051337	1	1	0.274725274725275	1645.91445822895		3704	12205	25	29209	24113701	1255401	true	Complete	700306	ATCC Bacteriology
f8f3c9043cab418e	700603	published	gold	3		5284710	0.577342596364262	5513818	3	3	0.385802469135803	197.319511312191	64.6410587001602	6795	20390	14	31510	5419220	15036	true	Complete	700603D-5	ATCC Bacteriology
f8f28db401404f57	47054	published	processing	2		6185012	0.615197027911991	6185012	1	1	0.218909878000787	132.393675067993	103.430171517856	18270	40204	15	26877	4675283	3733	true	Complete	47054D-5	ATCC Bacteriology
f8dd9b195449428e	14869	published	gold	2		2493955	0.459981836079641	2493955	1	1	0.15625	338.216173106572	868.92749628602	3775	24725	20	219405	4068928	1803	true	Complete	14869DX	ATCC Bacteriology
f8dc9d0b95434147	11842	published	gold	1		1863657	0.49718483605084	1863657	1	1	0	481.929226247105		4208	14308	16	235113	3820591	1664	true	Complete	11842D-5	ATCC Bacteriology
f8bb55f0543f4482	25619	published	beta	1		6321321	0.663831183387143	6321321	0	1	0.497835497835498	343.338227442394		4930	28407	24	56186	15607870	634867	false	Chromosome	25619	ATCC Bacteriology
f8708222eb73467f	6308	published	beta	2		2032623	0.397483358670177	2049716	0	2	0.199203187250996	554.302753990392		2985	5243	24	382447	5551507	5732	false	Chromosome	6308D-5	ATCC Bacteriology
